chrom	start	end
chr1	1	248956422
chr2	1	242193529
chr3	1	198295559
chr4	1	190214555
chr5	1	181538259
chr6	1	170805979
chr7	1	159345973
chrX	1	156040895
chr8	1	145138636
chr9	1	138394717
chr11	1	135086622
chr10	1	133797422
chr12	1	133275309
chr13	1	114364328
chr14	1	107043718
chr15	1	101991189
chr16	1	90338345
chr17	1	83257441
chr18	1	80373285
chr20	1	64444167
chr19	1	58617616
chrY	1	57227415
chr22	1	50818468
chr21	1	46709983
chr8_KZ208915v1_fix	1	6367528
chr15_ML143371v1_fix	1	5500449
chr15_KI270905v1_alt	1	5161414
chr15_KN538374v1_fix	1	4998962
chr6_GL000256v2_alt	1	4929269
chr6_GL000254v2_alt	1	4827813
chr6_GL000251v2_alt	1	4795265
chr6_GL000253v2_alt	1	4677643
chr6_GL000250v2_alt	1	4672374
chr6_GL000255v2_alt	1	4606388
chr6_GL000252v2_alt	1	4604811
chr17_KI270857v1_alt	1	2877074
chr16_KI270853v1_alt	1	2659700
chr15_KQ031389v1_alt	1	2365364
chr5_MU273354v1_fix	1	2101585
chr16_KV880768v1_fix	1	1927115
chr16_KI270728v1_random	1	1872759
chr17_GL000258v2_alt	1	1821992
chr5_GL339449v2_alt	1	1612928
chr1_MU273333v1_fix	1	1572686
chr14_KI270847v1_alt	1	1511111
chr17_KI270908v1_alt	1	1423190
chr14_KI270846v1_alt	1	1351393
chr15_MU273374v1_fix	1	1154574
chr5_KI270897v1_alt	1	1144418
chr7_KI270803v1_alt	1	1111570
chr19_GL949749v2_alt	1	1091841
chr19_KI270938v1_alt	1	1066800
chr19_GL949750v2_alt	1	1066390
chr19_GL949748v2_alt	1	1064304
chr12_KZ208916v1_fix	1	1046838
chr21_MU273391v1_fix	1	1020778
chr19_GL949751v2_alt	1	1002683
chr19_GL949746v1_alt	1	987716
chr19_GL949752v1_alt	1	987100
chr8_KI270821v1_alt	1	985506
chr2_MU273342v1_fix	1	955087
chr1_KI270763v1_alt	1	911658
chr6_KI270801v1_alt	1	870480
chrY_MU273398v1_fix	1	865743
chr1_MU273331v1_alt	1	847441
chr19_GL949753v2_alt	1	796479
chr19_GL949747v2_alt	1	729520
chr14_MU273373v1_fix	1	722645
chr14_KZ208920v1_fix	1	690932
chr7_KZ208913v1_alt	1	680662
chr5_KV575244v1_fix	1	673059
chr8_KI270822v1_alt	1	624492
chrX_MU273395v1_alt	1	619716
chr7_KZ208912v1_fix	1	589656
chr4_GL000257v2_alt	1	586476
chr12_KI270904v1_alt	1	572349
chr9_MU273366v1_fix	1	569668
chr4_KI270925v1_alt	1	555799
chr1_KV880763v1_alt	1	551020
chr12_KN538369v1_fix	1	541038
chr17_MU273380v1_fix	1	538541
chr2_MU273338v1_alt	1	535251
chr2_KQ983256v1_alt	1	535088
chr21_ML143377v1_fix	1	519485
chr1_MU273330v1_alt	1	516764
chr5_MU273355v1_fix	1	508332
chr2_MU273339v1_alt	1	500581
chr19_ML143376v1_fix	1	493165
chr2_MU273343v1_fix	1	489404
chr9_MU273365v1_fix	1	482250
chr2_KQ031384v1_fix	1	481245
chr16_KZ559113v1_fix	1	480415
chr15_KI270852v1_alt	1	478999
chr3_MU273348v1_fix	1	475876
chr3_MU273346v1_fix	1	469342
